"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"",133,SBST,54009,03239,2018-04-16T06:12:30+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:20:12+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:08+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.303502692,103.8586453,1129,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:14:06+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:21:48+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:32:44+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.300756795,103.8561104,1059,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:15:50+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:23:32+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:28+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.299604109,103.8551293,1119,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:17:33+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:25:15+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:36:11+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.296989512,103.853022,1019,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:19:23+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:27:05+08:00,1.3332508333333333,103.869751,1,SEA,WAB,DD,54009,03239,2018-04-16T06:38:01+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.294520912,103.8540216,2049,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:21:11+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:28:53+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:39:49+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.293177763,103.8578462,2151,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:22:57+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:30:39+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:41:35+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.292685535,103.8609316,2161,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:23:59+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:31:41+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:42:29+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.2907,103.8609219,2171,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:25:46+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:33:28+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:44:23+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.28315,103.8600439,3509,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:26:41+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:34:23+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:45:23+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.281245,103.858848,3519,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:29:06+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:36:48+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:47:35+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.277533055,103.8556161,3539,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:29:59+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:37:41+08:00,1.3332816666666667,103.86975716666667,1,SEA,WAB,DD,54009,03239,2018-04-16T06:48:26+08:00,1.35399,103.863955,1,SEA,WAB,SD,1.279399574,103.8527877,3529,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:32:28+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:40:10+08:00,1.3332508333333333,103.869751,1,SEA,WAB,DD,,,,,,,,,,1.278070035,103.8495672,3129,2018-04-16 06:05:57
"",133,SBST,54009,03239,2018-04-16T06:33:54+08:00,1.3187538333333333,103.86405666666667,1,SDA,WAB,SD,54009,03239,2018-04-16T06:41:44+08:00,1.3332508333333333,103.869751,1,SEA,WAB,DD,,,,,,,,,,1.274078889,103.8468739,3218,2018-04-16 06:05:57
"",133,SBST,03239,54009,2018-04-16T06:31:00+08:00,0,0,1,SEA,WAB,DD,03239,54009,2018-04-16T06:43:00+08:00,0,0,1,SEA,WAB,SD,,,,,,,,,,1.27464227,103.8475672,3239,2018-04-16 06:05:57
"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"routeInfo",133,SBST,54009,03239,2018-04-16T06:13:00+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:00+08:00,0,0,1,SEA,WAB,SD,1.369687699,103.8485672,54009,2018-04-16 06:14:05
"",133,SBST,54009,03239,2018-04-16T06:18:16+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:26:16+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:16+08:00,0,0,1,SEA,WAB,SD,1.368754906,103.8466101,54248,2018-04-16 06:14:05
"",133,SBST,54009,03239,2018-04-16T06:19:48+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:27:48+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:35:48+08:00,0,0,1,SEA,WAB,SD,1.366186667,103.8441833,54019,2018-04-16 06:14:05
"",133,SBST,54009,03239,2018-04-16T06:13:43+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:21:13+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:13+08:00,0,0,1,SEA,WAB,DD,1.364336649,103.8449067,54071,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:14:40+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:22:09+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:30:09+08:00,0,0,1,SEA,WAB,DD,1.363589722,103.8478669,54081,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:15:44+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:23:10+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:10+08:00,0,0,1,SEA,WAB,DD,1.36167975,103.850928,54091,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:17:42+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:25:09+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:33:09+08:00,0,0,1,SEA,WAB,DD,1.357320978,103.8546576,54101,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:19:45+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:26:57+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:57+08:00,0,0,1,SEA,WAB,DD,1.354546667,103.8614517,66091,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:13:19+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:21:10+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:28:13+08:00,0,0,1,SEA,WAB,DD,1.354656407,103.8657236,66031,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:15:06+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:22:57+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:30:21+08:00,0,0,1,SEA,WAB,DD,1.353553017,103.8682257,66369,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:17:03+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:24:54+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,54009,03239,2018-04-16T06:32:11+08:00,0,0,1,SEA,WAB,DD,1.350921638,103.8710691,66389,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:13:10+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:19:35+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:27:26+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.346989589,103.8720549,62129,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:14:05+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:20:30+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:28:21+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.344832659,103.8710922,62119,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:14:57+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:21:22+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:13+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.341962778,103.8709686,61049,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:15:43+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:22:08+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:59+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.338453328,103.8708488,61039,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:16:33+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:22:58+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:30:49+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.335968329,103.8705159,61029,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:17:11+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:23:36+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:27+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.333201667,103.8697617,61019,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:18:24+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:24:49+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:32:40+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.330990301,103.8692289,60269,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:19:09+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:25:34+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:33:25+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.329861339,103.868961,60209,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:20:57+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:27:22+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:35:13+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.326340257,103.8683403,60179,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:21:56+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:28:21+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:36:12+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.324094766,103.867642,60159,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:22:55+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:29:20+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:37:11+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.322048616,103.8662898,60139,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:24:15+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:30:40+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,54009,03239,2018-04-16T06:38:31+08:00,1.3660966666666667,103.84415983333334,1,SEA,WAB,SD,1.318897114,103.8642149,60119,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:12:27+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:26:01+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:32:26+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,1.314564208,103.8608682,60099,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:13:42+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:27:16+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:33:41+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,1.313682531,103.8607145,7359,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:14:36+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:28:10+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:34:35+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,1.311408056,103.8623789,7369,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:15:14+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:28:48+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:35:13+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,1.310173367,103.8633823,7379,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:16:51+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:30:25+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,54009,03239,2018-04-16T06:36:50+08:00,1.3542326666666666,103.862525,1,SEA,WAB,DD,1.307574267,103.863256,1319,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:12:40+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:18:08+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:42+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.305265985,103.8607202,1219,2018-04-16 06:14:06
"",133,SBST,54009,03239,2018-04-16T06:13:52+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:19:20+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:32:54+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.303502692,103.8586453,1129,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:15:28+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:20:56+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:30+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.300756795,103.8561104,1059,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:17:12+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:22:40+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:36:14+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.299604109,103.8551293,1119,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:18:55+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:24:23+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:37:57+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.296989512,103.853022,1019,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:20:45+08:00,1.3051723333333334,103.86058766666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:26:13+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:39:47+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.294520912,103.8540216,2049,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:22:33+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:28:01+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:41:39+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.293177763,103.8578462,2151,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:24:19+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:29:47+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:43:25+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.292685535,103.8609316,2161,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:25:21+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:30:49+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:44:19+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.2907,103.8609219,2171,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:27:08+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:32:36+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:46:13+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.28315,103.8600439,3509,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:28:03+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:33:31+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:47:13+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.281245,103.858848,3519,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:30:28+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:35:56+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:49:25+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.277533055,103.8556161,3539,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:31:21+08:00,1.3055246666666667,103.86097,1,SEA,WAB,SD,54009,03239,2018-04-16T06:36:49+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:50:16+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.279399574,103.8527877,3529,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:33:50+08:00,1.3051723333333334,103.86058766666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:39:18+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:52:19+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.278070035,103.8495672,3129,2018-04-16 06:14:07
"",133,SBST,54009,03239,2018-04-16T06:35:16+08:00,1.3051723333333334,103.86058766666666,1,SEA,WAB,SD,54009,03239,2018-04-16T06:40:44+08:00,1.315279,103.86138683333333,1,SEA,WAB,DD,54009,03239,2018-04-16T06:53:52+08:00,1.3483988333333334,103.87227233333333,1,SDA,WAB,SD,1.274078889,103.8468739,3218,2018-04-16 06:14:07
"",133,SBST,03239,54009,2018-04-16T06:31:00+08:00,0,0,1,SEA,WAB,DD,03239,54009,2018-04-16T06:43:00+08:00,0,0,1,SEA,WAB,SD,03239,54009,2018-04-16T06:54:00+08:00,0,0,1,SEA,WAB,DD,1.27464227,103.8475672,3239,2018-04-16 06:14:07
"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"routeInfo",133,SBST,54009,03239,2018-04-16T06:29:00+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:37:00+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:46:00+08:00,0,0,1,SEA,WAB,SD,1.369687699,103.8485672,54009,2018-04-16 06:22:14
"",133,SBST,54009,03239,2018-04-16T06:26:56+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:34:16+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:42:16+08:00,0,0,1,SEA,WAB,DD,1.368754906,103.8466101,54248,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:28:28+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:35:48+08:00,0,0,1,SEA,WAB,SD,54009,03239,2018-04-16T06:43:48+08:00,0,0,1,SEA,WAB,DD,1.366186667,103.8441833,54019,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:21:49+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:29:53+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:37:13+08:00,0,0,1,SEA,WAB,SD,1.364336649,103.8449067,54071,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:22:46+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:30:49+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:38:09+08:00,0,0,1,SEA,WAB,SD,1.363589722,103.8478669,54081,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:23:50+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:31:50+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:39:10+08:00,0,0,1,SEA,WAB,SD,1.36167975,103.850928,54091,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:25:48+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:33:49+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:41:09+08:00,0,0,1,SEA,WAB,SD,1.357320978,103.8546576,54101,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:27:50+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:35:37+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:42:57+08:00,0,0,1,SEA,WAB,SD,1.354546667,103.8614517,66091,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:29:15+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:36:53+08:00,0,0,1,SEA,WAB,DD,54009,03239,2018-04-16T06:44:13+08:00,0,0,1,SEA,WAB,SD,1.354656407,103.8657236,66031,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:22:50+08:00,1.3547206666666667,103.86599266666667,1,SEA,WAB,SD,54009,03239,2018-04-16T06:31:02+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:39:01+08:00,0,0,1,SEA,WAB,DD,1.353553017,103.8682257,66369,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:24:48+08:00,1.3547206666666667,103.86599266666667,1,SEA,WAB,SD,54009,03239,2018-04-16T06:33:00+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,54009,03239,2018-04-16T06:40:51+08:00,0,0,1,SEA,WAB,DD,1.350921638,103.8710691,66389,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:21:36+08:00,1.3483341666666666,103.87238183333334,1,SEA,WAB,DD,54009,03239,2018-04-16T06:27:20+08:00,1.3547206666666667,103.86599266666667,1,SEA,WAB,SD,54009,03239,2018-04-16T06:35:32+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,1.346989589,103.8720549,62129,2018-04-16 06:22:15
"",133,SBST,54009,03239,2018-04-16T06:22:31+08:00,1.3483341666666666,103.87238183333334,1,SEA,WAB,DD,54009,03239,2018-04-16T06:28:15+08:00,1.3547206666666667,103.86599266666667,1,SEA,WAB,SD,54009,03239,2018-04-16T06:36:27+08:00,1.364545,103.84319416666666,1,SEA,WAB,DD,1.344832659,103.8710922,62119,2018-04-16 06:22:15
